lat, lon, mat_anm_mean, mat_se_mean, mat_tstat,mat_sig, mat_sig_val,mat_npts
   47.000000,   -69.000000,         1.2745,         0.2024,         6.2984,         1.0000,         1.2745,     4
   55.000000,   -69.000000,        -0.8390,         0.8379,        -1.0014,         0.0000,         0.0000,     2
   61.000000,   -69.000000,        -1.6495,         0.3957,        -4.1683,        -1.0000,        -1.6495,     2
   71.000000,   -69.000000,         7.6210,         2.5652,         2.9709,         1.0000,         7.6210,     1
   45.000000,   -67.000000,        -0.8625,         0.1425,        -6.0531,        -1.0000,        -0.8625,     2
   49.000000,   -67.000000,         1.5120,         0.3859,         3.9181,         1.0000,         1.5120,     1
   51.000000,   -67.000000,         4.2095,         0.5836,         7.2131,         1.0000,         4.2095,     2
   53.000000,   -67.000000,         3.6390,         1.3467,         2.7022,         1.0000,         3.6390,     1
   55.000000,   -67.000000,        -1.1430,         0.7491,        -1.5259,         0.0000,         0.0000,     3
   67.000000,   -67.000000,         0.2280,         0.4528,         0.5035,         0.0000,         0.0000,     1
   45.000000,   -65.000000,         8.9060,         0.1909,        46.6527,         1.0000,         8.9060,     1
   47.000000,   -65.000000,         3.5330,         0.3398,        10.3973,         1.0000,         3.5330,     1
   49.000000,   -65.000000,         0.2037,         0.1720,         1.1848,         0.0000,         0.0000,     4
   57.000000,   -65.000000,        -3.5973,         0.3132,       -11.4872,        -1.0000,        -3.5973,     3
   45.000000,   -63.000000,        -1.4640,         0.2253,        -6.4980,        -1.0000,        -1.4640,     1
   47.000000,   -63.000000,         0.9345,         0.2090,         4.4712,         1.0000,         0.9345,     2
   53.000000,   -63.000000,        -5.6730,         0.7506,        -7.5580,        -1.0000,        -5.6730,     1
   55.000000,   -63.000000,         2.2627,         0.7296,         3.1013,         1.0000,         2.2627,     3
   57.000000,   -63.000000,        -1.3045,         0.3476,        -3.7529,        -1.0000,        -1.3045,     2
   59.000000,   -63.000000,         0.0970,         0.5908,         0.1642,         0.0000,         0.0000,     1
  -15.000000,   -61.000000,        -2.0000,         1.6069,        -1.2446,         0.0000,         0.0000,     1
  -13.000000,   -61.000000,        -2.1000,         1.6069,        -1.3069,         0.0000,         0.0000,     1
   47.000000,   -61.000000,         0.0630,         0.3239,         0.1945,         0.0000,         0.0000,     1
   53.000000,   -61.000000,        -1.2340,         0.5590,        -2.2075,        -1.0000,        -1.2340,     1
   55.000000,   -61.000000,        -7.4090,         0.1153,       -64.2585,        -1.0000,        -7.4090,     1
   57.000000,   -61.000000,        -1.8900,         1.2575,        -1.5030,         0.0000,         0.0000,     1
   49.000000,   -59.000000,         3.9735,         0.3954,        10.0482,         1.0000,         3.9735,     2
   53.000000,   -59.000000,         2.4467,         0.1957,        12.4995,         1.0000,         2.4467,     3
   49.000000,   -57.000000,         0.8870,         2.3165,         0.3829,         0.0000,         0.0000,     1
   51.000000,   -57.000000,         2.9600,         0.4747,         6.2355,         1.0000,         2.9600,     1
   53.000000,   -57.000000,        -2.3620,         0.5761,        -4.0999,        -1.0000,        -2.3620,     2
   49.000000,   -55.000000,         0.6205,         0.4249,         1.4605,         0.0000,         0.0000,     2
   47.000000,   -53.000000,         0.3720,         0.8112,         0.4586,         0.0000,         0.0000,     3
   59.000000,   -45.000000,        -1.9650,         0.8469,        -2.3202,        -1.0000,        -1.9650,     2
   61.000000,   -45.000000,         2.7000,         1.1990,         2.2519,         1.0000,         2.7000,     1
   65.000000,   -37.000000,        -4.0000,         0.6378,        -6.2716,        -1.0000,        -4.0000,     1
   71.000000,   -27.000000,        -0.5000,         1.1735,        -0.4261,         0.0000,         0.0000,     1
   71.000000,   -25.000000,         0.3915,         0.9949,         0.3935,         0.0000,         0.0000,     2
   71.000000,   -23.000000,        -0.3375,         1.0101,        -0.3341,         0.0000,         0.0000,     2
   65.000000,   -21.000000,        -0.0903,         0.6959,        -0.1297,         0.0000,         0.0000,     4
   65.000000,   -19.000000,        -2.8240,         0.9800,        -2.8815,        -1.0000,        -2.8240,     2
   15.000000,   -17.000000,        -0.2000,         1.4031,        -0.1425,         0.0000,         0.0000,     1
   21.000000,   -17.000000,        -4.5000,         1.6069,        -2.8004,        -1.0000,        -4.5000,     1
   29.000000,   -11.000000,         1.9000,         1.4286,         1.3300,         0.0000,         0.0000,     1
   53.000000,   -11.000000,        -1.8960,         1.1362,        -1.6686,         0.0000,         0.0000,     2
   53.000000,    -9.000000,        -0.9077,         0.5902,        -1.5378,         0.0000,         0.0000,     6
   55.000000,    -9.000000,        -2.0800,         1.6069,        -1.2944,         0.0000,         0.0000,     1
   37.000000,    -7.000000,        -1.7133,         0.9277,        -1.8468,         0.0000,         0.0000,     3
