,lat,lon,anom,err
121,37.999,-31.1283,1.143793519,1.5
224,47.14,-93.64,1.1546,2.1
136,44.05,-87.73,1.161666667,2.1
362,-5.0031,133.4447,1.166989576,1.9
562,38.5,43,1.186410715,2.1
432,61.4253,-24.0824,1.188419727,1.9
59,46.67,-88.02,1.189642857,2.1
305,-9.295,-79.6185,1.193896443,1.7
84,65.1857,-43.8248,1.214583333,2.1
35,49.42,-0.03,1.217785716,2.1
286,42.68,-72.19,1.233714285,2.1
133,74.9981,13.9685,1.23685839,1.7
25,66.5239,-21.1522,1.240288592,2.1
159,-4.245,-36.345,1.242936529,2.1
463,53.83,36.25,1.246583333,2.1
498,-43.44,167.8507,1.24666868,1.7
271,43.05,-6.15,1.259955357,2.1
80,38.83,-106.41,1.265333333,2.1
291,46.72,-87.97,1.266333333,2.1
111,39.94,-105.58,1.277657143,2.1
345,66.9697,7.6393,1.280138889,1.7
261,46.72,-70.3,1.2883,2.1
39,45.8,-122.49,1.288541667,2.1
67,46.61,-73,1.2913,2.1
384,79.161,5.3378,1.298272727,1.3
40,54.74,-101.68,1.301633333,2.1
316,36.033,141.783,1.307698737,1.7
500,3.5167,96.3167,1.325550244,2.1
232,26.374,-92.027,1.334625,1.9
76,50.03,-56.2,1.336666667,2.1
143,-17.1572,11.0117,1.339173021,1.7
391,-25.4475,153.0533,1.35,2.1
460,50.91,0.68,1.35916512,2.1
234,26.374,-92.027,1.367491289,2.1
533,66.44,14.05,1.4088,2.1
167,-5.5883,11.2217,1.416123443,2.1
536,49.63,21.1,1.427724489,2.1
196,42.9783,-55.2483,1.471623886,2.1
141,-9.0099,120.0153,1.477437013,1.9
103,50.69,-99.66,1.4905,2.1
504,14.321,57.347,1.491953836,2.9
2,10.7061,-65.1694,1.499125091,1.5
425,75.1,-42.32,1.516218182,2.1
517,47.27,-1.75,1.524433981,2.1
370,64.3032,-24.2067,1.551805556,1.3
578,48.57,8.24,1.564954721,2.1
206,68.38,-138.38,1.588,2.1
274,61.48,26.07,1.592259091,2.1
